cell	phenotype
T4_H4.S32	immune
Tres_A12.S104	immune
Tres_A14.S265	immune
Tres_A4.S217	immune
Tres_A5.S342	immune
Tres_A6.S233	immune
Tres_A7.S241	immune
Tres_A7.S358	immune
Tres_B11.S274	immune
Tres_B12.S103	immune
Tres_B2.S319	immune
Tres_B3.S327	immune
Tres_B6.S351	immune
Tres_B7.S359	immune
Tres_C9.S259	immune
Tres_D1.S313	immune
Tres_D3.S212	immune
Tres_D5.S228	immune
Tres_D7.S361	immune
Tres_E1.S314	immune
Tres_E3.S213	immune
Tres_E4.S221	immune
Tres_E4.S338	immune
Tres_E6.S237	immune
Tres_E9.S261	immune
Tres_F12.S286	immune
Tres_F14.S270	immune
Tres_F2.S323	immune
Tres_F3.S331	immune
Tres_F4.S222	immune
Tres_F8.S254	immune
Tres_F8.S371	immune
Tres_G1.S316	immune
Tres_H2.S208	immune
Tres_H6.S240	immune
Tres_H9.S381	immune
lib1_AR_T28_1_C7.S318	invasive
lib1_AR_T28_1_D5.S328	invasive
lib1_AR_T28_1_F7.S354	invasive
lib2_AR_lib2_AR_T28_228_2_C1.S216	invasive
lib2_AR_lib2_AR_T28_228_2_E11.S250	invasive
T0_A10.S361	invasive
T0_A10.S73	invasive
T0_A6.S41	invasive
T0_A7.S49	invasive
T0_A9.S65	invasive
T0_B11.S370	invasive
T0_B12.S90	invasive
T0_B2.S298	invasive
T0_B5.S322	invasive
T0_B8.S58	invasive
T0_B9.S354	invasive
T0_C1.S291	invasive
T0_C3.S307	invasive
T0_C4.S27	invasive
T0_D1.S4	invasive
T0_E12.S93	invasive
T0_E6.S333	invasive
T0_F5.S326	invasive
T0_F6.S334	invasive
T0_F8.S350	invasive
T0_G1.S295	invasive
T0_G8.S63	invasive
T0_H12.S96	invasive
T0_H6.S48	invasive
T0_H8.S64	invasive
T28_F12.S307	invasive
T4_B12.S207	invasive
T4_B7.S50	invasive
T4_C2.S11	invasive
T4_D11.S84	invasive
T4_D2.S129	invasive
